Chr,tissue1,tissue2,clasif,dist1,dist2,trans all,nodes,links,CC_V_3,CC_V_4,CC_V_5,CC_V_6,CC_V_8,CC_V_+,CC_V_max,CC_V_aver,CC_E_3,CC_E_4,CC_E_5,CC_E_6,CC_E_8,CC_E_+,CC_E_max,CC_E_aver,BC_V_3,BC_V_4,BC_V_5,BC_V_6,BC_V_8,BC_V_+,BC_V_max,BC_V_aver,BC_E_3,BC_E_4,BC_E_5,BC_E_6,BC_E_8,BC_E_+,BC_E_max,BC_E_aver,SC_V_3,SC_V_4,SC_V_5,SC_V_6,SC_V_8,SC_V_+,SC_V_max,SC_V_aver,SC_E_3,SC_E_4,SC_E_5,SC_E_6,SC_E_8,SC_E_+,SC_E_max,SC_E_aver,CL_3,CL_4,CL_5,CL_6,CL_8,CL_+,CL_max,CL_aver,antiparalllelEdges,edgeTissues2,edgeTissues3,edgeTissues4,edgeTissues5,edgeTissues6,edgeTissues7,edgeTissues8,edgeTissues9,edgeTissues10,edgeTissues11,edgeTissues12,edgeTissues13,edgeTissues14,edgeTissues15,edgeTissues16
22,Neu,aCD4,HSC,575,13,6705,0.518207,0.556687,0.0,0.008979,0.003848,0.001283,0.006413,0.015392,0.043611,0.015854,0.008979,0.0,0.005131,0.002565,0.002565,0.016675,0.062852,0.01833,0.001283,0.005131,0.003848,0.002565,0.002565,0.005131,0.024371,0.009941,0.001283,0.005131,0.0,0.003848,0.002565,0.007696,0.042329,0.015238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001283,0.0,0.0,0.0,0.0,0.0,0.003848,0.003848,0.012827,0.024371,0.050025,0.0667,0.080809,0.112877,0.135965,0.169315,0.192403,0.239863,0.291171,0.343761,0.407895,0.461768,0.50538,0.556687
22,Neu,naCD4,HSC,575,13,6705,0.505992,0.542916,0.0,0.006838,0.004103,0.002735,0.008205,0.015043,0.071112,0.016205,0.00547,0.002735,0.00547,0.001368,0.004103,0.017778,0.092993,0.018585,0.0,0.008205,0.001368,0.002735,0.001368,0.008205,0.021881,0.010598,0.0,0.008205,0.0,0.001368,0.002735,0.009573,0.035556,0.015563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006838,0.016411,0.025983,0.042394,0.06701,0.098463,0.120344,0.151798,0.176413,0.221542,0.268039,0.318638,0.385648,0.444452,0.489581,0.542916
22,Neu,nCD8,HSC,575,13,6705,0.549827,0.579615,0.0,0.004965,0.001241,0.002482,0.003723,0.022341,0.04344,0.016892,0.004965,0.0,0.002482,0.002482,0.007447,0.017376,0.05461,0.019064,0.0,0.007447,0.001241,0.001241,0.002482,0.007447,0.018617,0.009309,0.0,0.007447,0.0,0.001241,0.001241,0.009929,0.031029,0.014037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001241,0.0,0.0,0.0,0.0,0.0,0.003723,0.003723,0.013653,0.029787,0.047164,0.058334,0.089362,0.129079,0.160108,0.197342,0.228371,0.271811,0.321457,0.374826,0.439366,0.491494,0.523763,0.579615
22,Neu,tCD8,HSC,575,13,6705,0.531599,0.532868,0.0,0.007612,0.002537,0.002537,0.005075,0.015225,0.041868,0.017077,0.007612,0.002537,0.001269,0.003806,0.001269,0.016494,0.052018,0.018587,0.0,0.003806,0.001269,0.001269,0.005075,0.005075,0.016494,0.009757,0.0,0.003806,0.0,0.001269,0.001269,0.01015,0.029181,0.014058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002537,0.015225,0.032987,0.052018,0.073587,0.11038,0.139561,0.171279,0.199191,0.235984,0.284196,0.332408,0.392039,0.445326,0.479581,0.532868
22,Neu,nB,HSC,575,13,6705,0.570064,0.602925,0.0,0.007144,0.001429,0.002857,0.007144,0.020002,0.047148,0.019045,0.007144,0.0,0.002857,0.004286,0.005715,0.018574,0.051434,0.02106,0.001429,0.008572,0.0,0.001429,0.007144,0.005715,0.017145,0.009658,0.001429,0.008572,0.0,0.0,0.001429,0.012859,0.028575,0.013702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001429,0.0,0.0,0.0,0.0,0.0,0.004286,0.004286,0.008572,0.021431,0.042862,0.062864,0.072865,0.105726,0.13573,0.177163,0.205737,0.252886,0.311464,0.365755,0.432906,0.49577,0.537203,0.602925
22,Neu,tB,HSC,575,13,6705,0.567061,0.599214,0.0,0.007307,0.004384,0.001461,0.008769,0.018999,0.056998,0.018327,0.005846,0.005846,0.0,0.005846,0.004384,0.018999,0.062844,0.020256,0.002923,0.008769,0.002923,0.001461,0.001461,0.007307,0.021922,0.00988,0.002923,0.008769,0.0,0.002923,0.001461,0.008769,0.042383,0.014016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004384,0.0,0.0,0.0,0.0,0.0,0.004384,0.004384,0.005846,0.016076,0.032153,0.054075,0.077459,0.115458,0.140304,0.173918,0.200225,0.248455,0.31276,0.368297,0.441372,0.489602,0.530523,0.599214
22,MK,EP,CMP,425,7,6705,0.908624,1.138402,0.0,0.005721,0.001907,0.000953,0.005721,0.021929,0.09439,0.022034,0.005721,0.001907,0.000953,0.0,0.006674,0.020976,0.163037,0.028374,0.000953,0.008581,0.006674,0.000953,0.000953,0.013348,0.044811,0.009677,0.000953,0.007627,0.000953,0.004767,0.00286,0.014302,0.113459,0.017133,0.001907,0.00286,0.0,0.0,0.0,0.0,0.003814,0.003432,0.0,0.0,0.001907,0.000953,0.001907,0.0,0.006674,0.005721,0.05816,0.0,0.0,0.0,0.0,0.0,0.00286,0.00286,0.054346,0.1249,0.186873,0.276496,0.383281,0.47195,0.554899,0.614966,0.678846,0.740819,0.81328,0.888602,0.975364,1.049732,1.09645,1.138402
22,MK,Ery,MEP,384,4,6705,0.982909,1.233562,0.0,0.004378,0.0,0.004378,0.007662,0.020797,0.095226,0.026817,0.004378,0.0,0.004378,0.002189,0.005473,0.020797,0.15871,0.034763,0.001095,0.009851,0.003284,0.002189,0.002189,0.016418,0.051444,0.012007,0.001095,0.008756,0.001095,0.003284,0.002189,0.018607,0.113834,0.020523,0.001095,0.0,0.0,0.0,0.0,0.0,0.003284,0.003284,0.0,0.001095,0.0,0.0,0.0,0.0,0.004378,0.004378,0.040498,0.0,0.0,0.0,0.0,0.0,0.003284,0.003284,0.045971,0.113834,0.199209,0.267071,0.375432,0.45424,0.549466,0.611856,0.68738,0.754148,0.849374,0.941316,1.044204,1.12739,1.185402,1.233562
22,MK,FoeT,HSC,575,13,6705,0.728668,0.72427,0.0,0.004398,0.007331,0.007331,0.004398,0.023458,0.082103,0.018371,0.004398,0.007331,0.007331,0.001466,0.002932,0.023458,0.123155,0.020115,0.007331,0.007331,0.002932,0.004398,0.004398,0.002932,0.046916,0.009383,0.007331,0.005865,0.001466,0.002932,0.002932,0.008797,0.087968,0.013049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013195,0.0,0.0,0.0,0.0,0.0,0.004398,0.004398,0.002932,0.016127,0.032255,0.057179,0.0909,0.124621,0.152478,0.189131,0.244844,0.287362,0.347473,0.433975,0.520477,0.593784,0.66709,0.72427
22,MK,nCD4,HSC,575,13,6705,0.792394,0.906201,0.0,0.007445,0.002127,0.001064,0.005318,0.025527,0.078708,0.018709,0.007445,0.002127,0.0,0.003191,0.004254,0.024463,0.093598,0.022006,0.001064,0.007445,0.002127,0.001064,0.004254,0.012763,0.021272,0.009222,0.001064,0.007445,0.0,0.001064,0.002127,0.017018,0.03829,0.014455,0.001064,0.001064,0.0,0.0,0.0,0.0,0.004254,0.003723,0.001064,0.0,0.0,0.0,0.001064,0.0,0.007445,0.005318,0.021272,0.001064,0.0,0.0,0.0,0.0,0.004254,0.003244,0.003191,0.020209,0.040417,0.064881,0.09998,0.143588,0.204214,0.268031,0.348866,0.421192,0.52649,0.617961,0.727514,0.800903,0.858338,0.906201
22,MK,tCD4,HSC,575,13,6705,0.78721,0.825696,0.0,0.008164,0.005831,0.004665,0.004665,0.024491,0.061811,0.01726,0.008164,0.004665,0.004665,0.0,0.004665,0.025657,0.072307,0.018916,0.001166,0.012829,0.003499,0.001166,0.003499,0.008164,0.019826,0.007942,0.001166,0.011662,0.001166,0.002332,0.002332,0.011662,0.032655,0.011219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013995,0.0,0.0,0.0,0.0,0.0,0.003499,0.003499,0.0,0.001166,0.006997,0.020992,0.03732,0.069974,0.116624,0.159775,0.223918,0.297391,0.403518,0.495651,0.613441,0.710239,0.775548,0.825696
